rg,smi,lable
[Ti][Co][Sc][Zn][Hf]([V][Zn])[Ni][Sc]([Ni])[Zn],Cn1nc(C2(Cc3cccc(Nc4cc[nH]n4)n3)CCC(Oc3cccc(Cl)c3F)CC2)oc1=O,
[Co][Sc][Mn]([Zn])([Ni][Y])[Zn][Cu],CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC3CCNCC3)c21,
[Zn][Ni][Zn]([Zn])[Sc][Co][Sc]=[Sc][Hf],CC(C)N(c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1)S(C)(=O)=O,
[Co][Ni][Sc](=[Sc][Co][Zn]([Sc][Zn])[Nb]([Zn])[Zn])[Ni][Zn],COc1cc(C(N)=O)c2ncnc(NC(CN(C)C)c3ccc(Cl)cc3)c2c1,
[Sc][Zn][Ni][Sc](=[Sc][Co][Zn]([Sc])[Nb][Zn])[Ni][Co],CNCC(Nc1ncnc2c(C(N)=O)cc(OCc3ccccc3)cc12)c1ccccc1,
[Sc][Co][Zn][Sc][Sc]([Cu])[Ni][Co][Sc][Ni][Ni][Zn],COC(=O)c1cccc(NC(=O)c2cc(-n3cc(CNc4ccncn4)nn3)ccc2O)c1,
[Zn][Ti][Co][Sc]([Co][Sc]([Ni][Zn])[Ni][Zn])[Y][Zn],COc1ccc(Nc2nc(Nc3cc(C)[nH]n3)cc(N3CCN(C)CC3)n2)cc1OC,
[Sc]=[Cr][Co],Nc1nc(=O)[nH]c2sccc12,
[Sc][Zn]([Co][Sc]1[Zn][Zn][Zn][Zn]1[Ni][Co])[Nb]([Zn])[Hf],CN(CC(Nc1ncnc2c1=CCCC=2C(N)=O)c1ccccc1)C1CC1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Nb][Zn])[Sc]([Zn])[Zn],CNCC(Nc1ncnc2c(C(N)=O)cccc12)c1ccc(Cl)c(Cl)c1,
[Sc]=[Sc][Co][Zn][Sc][Co][Mn],c1ccc2[nH]c(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,
[Sc][Ni][Sc][Co][Sc]([Cu])[Ni]([Co])[Zn][Zn][Cu],CC(CO)N=C(N)c1c(O)nsc1Nc1ccc(Oc2ccccc2)cc1,
[Zn][Ni][Sc]([Sc]=[Re][Zn][Ti](=[W])[Zn][Mo])[Ni][Zn],COc1ccc(-c2ccc3c(c2)C(=Cc2[nH]c4c(c2CCC(=O)O)C(=O)CCC4)C(=O)N3)cc1OC,
[Zn][Sc][Ni][Zn][Co][Sc]([Zn])([Co][Ti][Zn])[Zn][Zn],Cc1ccc(OCCNc2nc(Nc3cc(C)[nH]n3)cc(C)c2C#N)cn1,
[Sc][Zn]([Sc][Co][Mn]([Ti])[Zn])[Y][Ni],Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C(c3ccccn3)N3CCC(F)CC3)ns2)n1,
[Co][Ni][Sc][Co][Sc][Zn]([Zn])[Sc]=[Sc]([Zn])[Zn],Cc1nn(C)c2cc(N(C)c3ccnc(Nc4cccc(S(N)(=O)=O)c4)n3)ccc12,
[Hf][Sc]=[Sc][Co][Sc][W],c1cc(N2CCOCC2)ccc1Nc1ncc2ccn(C3CCCCC3)c2n1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Sc][Co][Ni][Sc]([Ni])[Ni])[Nb][Zn],CNCC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2ccc(F)c(F)c2)c1,
[Sc][Zn][Co][Sc][Sc][Sc][Zn],Clc1cccc(-n2cc(-c3ccccc3NCc3ccncc3)nn2)c1,
[Zn][Ti][Co][Sc]([Zn])[Zn][Sc][Co][Ni][Zn],CC(=O)Nc1ccc(Sc2nc(C)cc(Nc3cc(C)[nH]n3)n2)cc1,
[Ti][Hf]([Nb])[Ni][Co][Zn][Sc][Zn],NC1(C(=O)NCc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1,
[Co][Sc][Mn]([Zn])[Ni][Co][Zn][Nb][Zn],CCn1c(-c2nonc2N)nc2cncc(C(=O)NCCNC)c21,
[Co][Sc]=[Sc][Ni][Co][Sc][Co][Ni][Co][Hf],Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)NC4CCCC4)cc3)c12,
[Zn][Sc][Zn]1[Ni][Co][Ni][Zn]1[Co][Sc]([Zn])[Mo],O=C1NC(=O)C(c2ccc(Cl)cc2)=C1Nc1ccc(Cl)c(C(=O)O)c1,
[Sc][Co][Ni][Zn][Y][Mn]([Zn])[Sc][Zn][Nb]([Zn])[Zn],CN(C)Cc1ccc(-c2nc3c(N4CCN(CC(=O)Nc5nccs5)CC4)c(Br)cnc3[nH]2)cc1,
[Zn][Sc][Co][Ni][Co][Sc][Zn][Co][Sc]=[Sc][Ni][Zn][Y],O=C(Nc1cccc(Cl)c1)Nc1cccc(CNc2nc3ccc(OCCN4CCOCC4)cc3s2)c1,
[Sc]=[Sc][Sc][Co][Sc]=[Sc][Zn],Clc1ccc2c(Nc3ccc(-c4nc5ccccc5s4)cc3)ccnc2c1,
[Sc]=[Sc][Zn][Sc][Sc]=[Ti],c1ccc2c(c1)nnn2Cc1cn(-c2ccc3[nH]ncc3c2)nn1,
[Sc][Co][Ni][Co][Sc][Sc]([Zn])[Ti][Zn][Nb][Zn][Y],CCn1cc(-c2ccnc3[nH]c(CNCCN4CCOCC4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1,
[Sc][Sc][Co][Sc][Zn],Cc1cccc(Nc2ncc(-c3ccccc3)o2)c1,
[Co][Ni][Sc]=[Sc][Co][Zn]([Y])[Sc][Co][Ni][Sc]([Ni])[Ni],NC(=O)c1cccc2c(NC(CCN3CCCCC3)c3cccc(NC(=O)c4ccc(F)c(F)c4)c3)ncnc12,
[Ti]=[Sc][Co][Ni][Zn]1[Zn]([Zn])[Co][Ni][Zn][Zn]1[Sc]([Zn])[Zn],CC1=C(C(=O)Nc2ccc3[nH]ncc3c2)C(c2ccc(Cl)c(Cl)c2)CC(=O)N1,
[Sc][Ti][Zn],Brc1cnc2[nH]cc(-c3ccccc3)c2c1,
[Zn][Sc]=[Sc][Sc][Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Y][Zn],COc1cc2ncnc(Nc3ccc(-c4nc5cc(Cl)ccc5s4)cc3)c2cc1OCCCN1CCN(C)CC1,
[Ni][Sc]([Ni])[Co][Ni][Sc][Mn][Sc][Co][Sc]([Ni][Zn])[Hf][Y][Ni][Zn],COc1cc(N2CCC(N3CCN(S(C)(=O)=O)CC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,
[Ni][Sc][Co][Ni][Zn][Sc][Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Nb]([Zn])[Zn][Cu],CCN(CCO)CCCOc1cc2ncnc(Nc3ncc(CC(=O)Nc4cccc(F)c4)s3)c2cc1OC,
[Mo][Sc][Co][Sc][Co][Sc][Mo],O=C(O)c1ccccc1Nc1ccnc(Nc2ccccc2C(=O)O)n1,
[Sc][Zn]([Co][Sc]=[Sc][Ni][Co])[Zn][Nb][Mo],[N-]=[N+]=NCC(Nc1ncnc2c(C(N)=O)cccc12)c1ccccc1,
[Ti][Mn]([Co][Sc][Zn])[Zn][Zn],Cc1cc(Nc2nc(SC(C)(C)C)cn3c(-c4cn[nH]c4)cnc23)sn1,
[Co][Ni][Sc][Co][Ni][Sc][Sc]([Zn])[Zn],Cc1c(Cl)cccc1-c1ccc(C(=O)Nc2ccc(S(N)(=O)=O)cc2)o1,
[Zn][Mn][Sc][Zn]([Zn])[Zn],Cc1cnc2[nH]c(-c3ccc(N(C)C)cc3)nc2c1,
[Cu][Zn][Sc]([Hf])=[Sc][Co][Sc]([Zn])[Ni][Y][Zn],CC(O)c1cc2cnc(Nc3cc(C(=O)N4CCN(C)CC4)n(C)c3)nc2n1C1CCCC1,
[Co][Ni][Zn][Sc]=[Sc][Ni][Zn][Sc]([Ni])([Zn])[Zn],CC(Oc1ccc2ncc(C=CC(N)=O)cc2c1)c1c(Cl)ccc(F)c1Cl,
[Sc]=[Cr][Co][Sc][Co][Zn],CNc1ccc(Nc2ccnc3[nH]c(=O)c4ccccc4c23)cc1,
[Zn][Cr]=[Sc]([Zn])[Co][Ni][Sc]([Ni][Zn])[Ni][Zn],COc1ccc(S(=O)(=O)Nc2nn(C)c3cc(C)[nH]c(=O)c23)c(OC)c1,
[Zn][Sc]=[Sc]([Mo])([Zn][Mo])[Sc]([Zn])[Zn],Cc1ccc(-c2nc3ccc(Br)cc3c(C(=O)O)c2CC(=O)O)cc1C,
[Zn][Mn][Zn][Y][Mn]([Zn])[Sc][Zn][Y],Cn1ccnc1CN1CCN(c2c(Br)cnc3[nH]c(-c4ccc(CN5CCOCC5)cc4)nc23)CC1,
[Zn][Ni][Sc]=[Re][Zn][Sc]=[Ti][Zn][Sc][Y][Zn],COc1ccc2c(c1)C(=Cc1ccc3c(C=Cc4ccc(N5CCN(C)CC5)nc4)n[nH]c3c1)C(=O)N2,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Sc][Ni][Ni][Zn],CCOC(=O)c1coc(Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)n1,
[Co][Ni][Sc]1([Zn])[Zn][Zn][Sc]1[Co][Sc][Zn],Cc1ccccc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,
[Co][Ni][Sc]([Mn][Zn])[Ni][Zn][Sc][Zn],NC(=O)c1sc(-n2cnc3cc(C(F)(F)F)ccc32)cc1OCc1ccccc1Br,
[Co][Sc]([Zn])=[Cr][Zn],Cc1cc2c(c(N)nn2C)c(=O)[nH]1,
[Sc][Co][Sc][Mn]([Sc][Ni])[Y][Zn],CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Nc3ccccc3)n2)CC1,
[Sc]=[Sc][Sc]([Cu])[Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Y][Zn],COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)cc3O)ncnc2cc1OCCCN1CCN(C)CC1,
[Zn][Ni][Sc][Co][Sc][Co][Ni][Zn][Mo],COc1cccc(Nc2cc(NC(=O)CCCC(=O)O)ncn2)c1,
[Sc][Sc](=[Ti][Hf][Ni][Zn])[Ni][Co],CCCS(=O)(=O)N1CCC(c2c[nH]c3c(C(N)=O)cc(-c4ccccc4)cc23)CC1,
[Ti][Sc][Co][Sc]([Zn])[Co][Sc][Zn],Clc1ccccc1Nc1nc(Nc2ccc(-c3nnn[nH]3)cc2)ncc1Cl,
[Sc][Cr]=[W][Zn][Sc],O=C1c2[nH]c3cc(-c4ccco4)nn3c(=O)c2CN1Cc1ccccn1,
[Zn][Ti][Co][Sc][Zn][Sc][Co][Ni][Zn],CC(=O)Nc1ccc(Sc2nccc(Nc3cc(C)[nH]n3)n2)cc1,
[Co][Ni][Sc][Zn][Co][Sc]=[Sc][Ni][Co],NC(=O)c1cccc(CNc2ncnc3c(C(N)=O)cccc23)c1,
[Sc][Co][Ni][Co][Sc][Co][Sc]=[Sc]([Sc])[Sc],O=C(Nc1ccccc1)Nc1ccc(Nc2ncnc3oc(-c4ccccc4)c(-c4ccccc4)c23)cc1,
[Sc][Co][Zn]1[Ni][Co][Ni][Zn]1[Sc][Ni][Zn],COc1ccccc1C1=C(Nc2ccccc2)C(=O)NC1=O,
[Cu][Zn][Co][Sc]([Zn])([Co][Ti][Zn])[Zn][Zn],Cc1cc(Nc2cc(C)c(C#N)c(NC(C)CCCC(C)(C)O)n2)n[nH]1,
[Sc]=[Sc]([Co][Ti][Zn])[Zn][Sc]([Ni][Zn])[Ni][Zn],COc1ccc(Sc2nc(Nc3cc(C)[nH]n3)c3ccccc3n2)cc1OC,
[Ni][Sc][Co][Ni][Zn][Ti][Co][Sc]=[Sc][Ni][Zn][Nb]([Zn])[Zn][Cu],CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,
[Sc][Cr]=[W][Zn][Y],O=C1c2[nH]c3cc(-c4ccco4)nn3c(=O)c2CN1CCN1CCOCC1,
[Sc][Zn]([Co][Sc]=[Sc][Ni][Co])[Nb][Zn],CC(C)NCC(Nc1ncnc2c(C(N)=O)cccc12)c1ccccc1,
[Sc][Ni][Co][Cr]([Zn])[Sc][Zn],CCCCc1nc2c(-c3ccc(Cl)cc3)n[nH]c2c(=O)n1NC(=O)c1ccccc1,
[Co][Ni][Sc]1([Zn])[Sc]([Co][Sc][Y][Zn])[Zn][Zn]1([Zn])[Zn],CN1CCN(c2ccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)C(C)(C)C4)cc2)CC1,
[Cu][Sc]([Sc]=[Re][Zn][Ti](=[W])[Zn][Mo])[Ni][Zn],COc1cc(-c2ccc3c(c2)C(=Cc2[nH]c4c(c2CCC(=O)O)C(=O)CCC4)C(=O)N3)ccc1O,
[Sc]=[Ti][Zn]1[Ni][Co][Zn][Zn]1[Sc]([Ni][Zn])([Ni][Zn])[Ni][Zn],COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2)cc(OC)c1OC,
[Cu][Zn]([Sc][Zn])[Co][Ni][Ti][Sc]([Zn])[Co][Sc]=[Hf],Cc1cnc(Nc2cccc3c2CCCC3)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1,
[Mn][Sc]([Zn])[Co][Ni][Co][Sc]([Zn])[Mn][Zn],Cc1cn(-c2cc(NC(=O)Nc3ccc(-c4nc5[nH]ncc5[nH]4)c(C)c3)cc(C(F)(F)F)c2)cn1,
[Sc][Ti][Sc][Sc][Ni],Fc1ccc(-c2cc(-c3c[nH]nc3-c3ccccn3)ccn2)cc1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc]=[W],NC(=O)c1cccc2c(NCc3ccc4c(c3)OCO4)ncnc12,
[Zn][Mn][Ti][Co][Sc]([Zn])[Ni][Zn],Cc1ccc2[nH]c(-c3n[nH]cc3Nc3cc(Cl)nc(S(C)(=O)=O)n3)nc2c1,
[Sc][Mn]([Y])[Sc]=[Hf][Zn][Cu],ON=C1CCc2cc(-c3nc(C4CCNCC4)[nH]c3-c3ccncc3)ccc21,
[Cu][Zn]([Sc][Zn])[Co][Ni][Ti][Sc]([Zn])[Co][Sc]=[Hf],Cc1cnc(Nc2cccc3c2CCC3)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1,
[Zn][Sc][Sc][Co][Ni][Sc]([Zn])([Ni][Zn])[Ni][Zn],COc1cc(C)c(S(C)(=O)=O)cc1C(=O)Nc1cccc(-c2nncn2C(C)C)n1,
[Zn][Ni][Sc]([Sc][Zn][Zn][Sc][Sc]=[W])[Zn][Zn],COc1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)c(C#N)c1,
[Ni][Sc]([Ni])[Co][Ni][Zn][Sc][Co][Sc]=[Sc]([Ni][Zn])[Ni][Zn][Nb]([Zn])[Zn][Cu],CCN(CCO)CCCOc1cc2cnnc(Nc3cnn(CC(=O)Nc4cccc(F)c4F)c3)c2cc1OC,
[Sc][Zn][Zn][Co][Sc]=[Sc][Sc][Co][Zn],CCCNc1cccc(-n2ncc3c(NN=Cc4ccncc4)ncnc32)c1,
[Mn][Sc][Ni][Zn],CC(=O)c1cccc(-c2ccc3nccn3n2)c1,
[Ni][Sc][Co][Ni][Sc][Co][Sc]([Ni])[Co][Sc][Cu],O=C(Nc1ccccc1F)c1ccc(Nc2nc(Nc3ccc(O)cc3)ncc2F)cc1,
[Sc]=[Sc]([Sc][Zn]([Zn])[Zn])[Ni][Zn][Re],CC(Oc1nc(-c2cnn(C(F)F)c2)cc2ncsc12)C1CNC(=O)O1,
[Zn][Ni][Sc]([Zn])([Mo])[Co][Ni][Co][Sc][Zn][Zn],COc1cc(C(=O)O)c(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,
[Ni][Sc][Zn][Ni][Sc]([Zn])[Co][Sc][Zn][Sc][Ni][Co][Zn],CNC(=O)c1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1,
[Sc]=[Ti]([Zn][Zn])[Ti]([Cu])=[Sc][Zn],O=Nc1c(-c2c(O)[nH]c3c(Br)cccc23)[nH]c2ccccc12,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Ti][Zn],CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cc(C(C)(C)C)n[nH]2)c1,
[Co][Sc]([Ti][Sc]([Ni][Zn])[Ni][Zn])[Ni][W],COc1ccc(-c2c[nH]c3ncc(-c4ccc(C(=O)N5CCOCC5)c(N)c4)cc23)cc1OC,
[Sc]=[Sc]([Co][Ti][Zn])[Zn][Sc][Zn]([Zn])[Ni][Zn],CC(=O)N(C)c1ccc(Sc2nc(Nc3cc(C)[nH]n3)c3ccccc3n2)cc1,
[Ni][Sc][Zn][Re]=[Sc][Zn],O=C1Nc2ccc(Cl)cc2C1=Cc1ccccc1F,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc]=[W],NC(=O)c1cccc2c(NCc3ccc4c(c3)CCO4)ncnc12,
[Sc][Zn][W]([Zn])[Zn][Sc][Zn],CCCCc1ccc(N=C2SC(=Cc3ccncc3)C(=O)N2C)cc1,
[Ni][Sc]([Co][Sc][Zn])[Co][Sc][Zn][Y],Fc1cnc(Nc2ccc(CN3CCOCC3)cc2)nc1Nc1ccccc1Cl,
[Cu][Zn][Y][Zn][Ni][Sc](=[Sc][Co][Ti][Zn][Ni][Co][Sc][Nb]([Zn])[Mo])[Ni][Zn],COc1cc2c(Nc3cc(CC(=O)Nc4cccc([N+](=O)[O-])c4)[nH]n3)ncnc2cc1OCCCN1CCC(CO)CC1,
[Co][Ni][Zn]1[Zn][Zn][Zn][Sc]1[Co][Zn]([Y])[Sc][Co][Ni][Sc][Zn],NC(=O)C1=c2ncnc(NC(CCN3CCCC3)c3cccc(NC(=O)c4ccc(Br)cc4)c3)c2=CCC1,
[Sc]=[V][Zn][Ni][Co][W]([Ni][Ni][Zn])([Ni][Ni][Zn])([Ni][Ni][Zn])[Zn][Ni][Ni][Zn],CC(=O)OCC1OC(NC(=O)CCCn2[se]c3ccccc3c2=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,
[Ni][Sc]([Ni][Sc][Sc][Co][Zn])[Ni][Co][Sc]([Zn])[Zn]([Zn])[Zn][Nb]([Zn])[Zn],CNc1ncnc(-c2cccnc2Oc2ccc(F)c(C(=O)Nc3cc(C(F)(F)F)ccc3N(C)CCCN(C)C)c2)n1,
[Sc]=[Sc]1=[Sc](=[Re])=[Sc](=[Sc])[W]1([Zn])([Ni][Zn])[Nb][Zn],CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,
[Sc][Zn][Co][Ni][Sc]=[Ti][Co][Ni][Sc][Y][Zn],CN1CCN(c2ccc(C(=O)Nc3n[nH]c4cc(C(=O)NC(C)(C)c5ccccc5)sc34)cc2)CC1,
[Zn][Y][Zn][Ni][Sc]=[Ti][Sc]=[Re],CCN1CCN(CCCOc2ccc3[nH]c(-c4cccc5c4C(=O)NC5)cc3c2)CC1,
[Sc][Zn][Y][Mn]([Zn])[Sc][Zn][Y],Brc1cnc2[nH]c(-c3ccc(CN4CCOCC4)cc3)nc2c1N1CCN(Cc2cncnc2)CC1,
[Sc][Ni][Co][Sc][Co][Sc]1[Co][Zn][Sc][Ni]1,O=C(Nc1ncc(Nc2ncnc3c2NCc2ccccc2O3)cn1)c1ccccc1,
[Zn][Zn][Sc]([Zn])=[Ti][Zn][Sc][Zn][Y][Zn],Cc1c(C#N)ccc2[nH]nc(C=Cc3cccc(CN4CCN(C)CC4)c3)c12,
[Co][Sc]=[Sc]([Zn])[Sc][Co][Ni][Co][Sc]([Zn])[Zn],Cc1cc(C)cc(NC(=O)Nc2ccc(-c3c(C)sc4ncnc(N)c34)cc2)c1,
[Cu][Zn]([Nb])[Sc][Co][Sc][Co][Sc][Zn],NC(O)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1,
[Sc][Co][Ni][Zn][Sc][Mn]([Zn])[Co][Sc][Zn][Y][Zn],Cc1cn2c(-c3cnn(CC(=O)Nc4ccncc4)c3)cnc2c(Nc2cc(CN3CCCC(C)C3)ns2)n1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Sc][Ni][Ni][Zn],CCOC(=O)c1cnc(Nc2cccc(CNc3ncnc4c(C(N)=O)cccc34)c2)s1,
[Ni][Sc]([Zn])[Co][Sc][Co][Sc][Mo],Cc1ccc(Nc2nccc(Nc3ccccc3C(=O)O)n2)cc1F,
[Cu][Sc]([V]=[Sc]([Cu])([Ni][Zn])[Ni][Zn])[Ni][Zn],COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1O,
[Zn][Sc][Co][Ni][Sc][Co][Zn][Sc]=[W],O=C(Nc1cccc(C(F)(F)F)c1)c1nscc1NCCc1ccc2c(c1)OCO2,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Hf],NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4cncc(N5CCCC5)c4)c3)ncnc12,
[Sc][Sc][Co][Sc],c1ccc(Nc2ncc(-c3ccccc3)o2)cc1,
[Co][Ni][Sc]=[Sc][Sc]([Ni])([Ni])[Zn],NC(=O)c1cc2c(-c3ccc(Br)c(F)c3F)cncc2s1,
[Ni][Sc]([Mn][Zn][Zn][Nb])[Nb]([Zn])[Mo],N=C(N)NN=Cc1c(-c2ccc(F)c([N+](=O)[O-])c2)nc2sccn12,
[Mn][Ni][Sc][Zn]1[Ti][Co][Zn]2[Zn][Zn]([Zn])([Zn])[Zn][Ni][Zn]12,CC1(C)CC(=O)C2=C(C1)Nc1n[nH]cc1C2c1cccc(Oc2nc3ccccc3[nH]2)c1,
[Sc]=[Sc][Sc][Co][Ti],c1ccc2sc(-c3ccc(Nc4ncnc5[nH]ccc45)cc3)nc2c1,
[Sc][Sc]([Co][Ti][Zn])[Zn][Sc][Co][Ni][Zn],CCC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(-c3ccncc3)n2)cc1,
[Zn][Nb]([Mo])[Sc]=[Re][Zn][Ti](=[W])[Zn][Mo],O=C(O)CCc1c(C=C2C(=O)Nc3ccc([N+](=O)[O-])cc32)[nH]c2c1C(=O)CCC2,
[Sc][Zn][Co][Ni][Zn][Sc][Mn]([Zn])[Co][Sc][Zn][Y][Zn],Cc1cn2c(-c3cnn(CC(=O)NCc4ccccc4)c3)cnc2c(Nc2cc(CN3CCCC(C)C3)ns2)n1,
[Sc][Co][Sc][Co][Sc][Zn],FC(F)(F)c1cccc(Nc2ccnc(Nc3ccccc3)n2)c1,
[Zn][Ti][Co][Sc]([Zn])[W],CC(C)Cc1nc(Nc2ccc(N3CCOCC3)c(Cl)c2)nc2[nH]ccc12,
[Sc][Co][Ni][Co][Sc][Zn][Co][Sc]=[Sc][Sc][Ni][Zn][Nb]([Zn])[Zn],CCCCN(CCCC)CCOc1ccc(-c2cc3c(NCCc4ccc(NC(=O)Nc5ccccc5)cc4)ncnc3o2)cc1,
[Sc]=[Sc][Co][Zn][Sc][Co][Mn][Zn],FC(F)(F)c1ccc2[nH]c(Nc3ccc(CCNc4ncnc5ccsc45)cc3)nc2c1,
[Ti][Sc]=[Re],O=C1NCc2cccc(-c3ccc[nH]3)c21,
[Ni][Sc][Zn][Ni][Sc]([Zn])[Co][Sc]=[Sc][Sc][Zn][Nb][Zn][Ni][Zn],CS(=O)(=O)CCNCc1cc(-c2cc3c(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)ncnc3s2)cs1,
[Sc][Ni][Co][Sc]=[Ti][Sc][Co][Ni][Zn][Mo],O=C(O)CCC(=O)Nc1cccc(-c2n[nH]c3ccc(NS(=O)(=O)c4ccccc4)cc23)c1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc]([Zn])[Zn],NC(=O)c1cccc2c(NCc3ccc(Cl)c(C(F)(F)F)c3)ncnc12,
[Sc]=[Re][Zn][Ti],O=C1Nc2ccccc2C1=Cc1ccc[nH]1,
[Mn][Zn][Sc][Zn]1[Ti][Co][Zn]2[Zn][Nb][Zn][Ni][Zn]12,O=C1CNCC2=C1C(c1ccc(Sc3nc4ccccc4[nH]3)o1)c1c[nH]nc1N2,
[Co][Ti]=[Sc][Sc][Zn][Ni][Co][Sc]([Ni])[Zn],Cc1cc(NC(=O)Cc2ccc(-c3cccc4[nH]nc(N)c34)cc2)ccc1F,
[Ni][Sc]([Zn])[Co][Ni][Co][Sc][Ni][Sc]=[Sc][Co][Ni][Ni][Zn],COC(=O)Nc1nc2ccc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)cc2s1,
[Co][Ni][Sc]([Ni][Zn][Sc][Zn])[Mn]([Ni][Zn])[Ni][Zn],COc1cc2ncn(-c3cc(OCc4ccccc4Cl)c(C(N)=O)s3)c2cc1OC,
[Mn][Co][Sc][Co][Sc][Zn],O=c1[nH]c2ccc(Nc3nccc(Nc4ccccc4Cl)n3)cc2[nH]1,
[Sc][Co][Ni][W]([Zn])[Sc]([Sc]=[Ti][Co])[Co][Zn],CCC1COC(C(=O)Nc2ccccc2)CN1c1cc(-c2ccc3c(N)n[nH]c3c2)nc(NC)n1,
[Sc][Sc]([Co])=[Sc][Sc][Co][Ni][Co][Sc]([Ni])[Zn],Nc1ncc(-c2ccncc2)c2scc(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c12,
[Sc][Co][Ni][Co][Zn][Sc][Co][Ni][Sc]=[Sc][Co],Nc1noc2cccc(C(=O)Nc3cccc(CNC(=O)Nc4ccccc4)c3)c12,
[Sc][Co][Ni][Hf]([Zn])[Sc]([Co])[Sc]=[Ti][Co],CC1CCC(C(=O)Nc2ccccc2)CN1c1cc(-c2ccc3c(N)[nH]nc3c2)nc(N)n1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc]([Ni])[Zn],CC(Nc1ncnc2c(C(N)=O)cccc12)c1cccc(NC(=O)c2cc(C(F)(F)F)ccc2F)c1,
[Zn][Ni][Sc][Sc]=[Sc][Co][Zn][Zn][Sc][Ni][Zn],COc1cccc(-n2ncc3c(NN=Cc4ccc(S(C)(=O)=O)cc4)ncnc32)c1,
[Zn][Mn][Ti]=[Sc][Co][Sc][Ni][Zn],COc1ccccc1Nc1cc2[nH]c(-c3cncn3C)cc2cn1,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc]=[W],NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccc5c(c4)OCCO5)c3)ncnc12,
[Sc][Sc][Co][Sc]([Ni][Zn])[Ni][Zn],COc1ccc(Nc2ncc(-c3ccccc3)o2)cc1OC,
[Co][Ni][Sc]=[Sc][Co][Zn][Sc][Co][Ni][Sc][Hf],NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccnc(N5CCCC5)c4)c3)ncnc12,
[Zn][Sc][Zn][Y][Mn]([Zn])[Sc][Zn][Y],CC(C)c1nc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(CN6CCOCC6)cc5)nc34)CC2)co1,
[Sc][Co][Ni][Zn][Y][Sc]=[Sc]([Ni][Zn])[Ni][Zn],COc1cc2ncnc(N3CCN(CC(=O)Nc4nccs4)CC3)c2cc1OC,
