smiles,Serine_threonine-protein_kinase_AKT
Cc1cc(-c2cn(CCNC(C)C)c(C3CCN(c4ncnc(N)c4C#N)CC3)n2)ccc1F,1.0
CNS(=O)(=O)c1ccc2ncnc(N3CCN(C(=O)C(N)Cc4ccc(Cl)cc4)CC3)c2c1,1.0
CC1=C(C(=O)Nc2ccc3[nH]ncc3c2)C(c2ccc3ccccc3c2)CC(=O)N1,0.0
COc1cc(Cl)cn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc12,1.0
COC(=O)c1cccc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)c1O,1.0
Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2-c2cncnc2)CC1,1.0
O=C(c1ccc(F)cc1)N1CCN(Cc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)CC1,0.0
CC1CC(O)c2ncnc(N3CCN(C(=O)C(CNC(C)(C)C)c4ccc(C(F)(F)F)c(F)c4)CC3)c21,1.0
Cn1c(-c2ccc([S+](C)O)cc2)nc2c(Sc3ccccc3)ncnc21,0.0
CN(C)CCCc1c(C=C2C(=O)Nc3ccc(NS(=O)(=O)c4ccccc4)cc32)[nH]c2c1C(=O)CCC2,0.0
NC(COc1cncc(Nc2ccncc2)c1)Cc1ccccc1,0.0
NS(=O)(=O)c1ccc(NN=C2C(=O)Nc3ccc(-c4cnco4)cc32)cc1,0.0
O=C1CC2OCC3=C(C(=O)c4ccccc4C3=O)C2O1,1.0
O=C(NC(c1ccc(Cl)c(Cl)c1)C1CCN(Cc2ccccc2)CC1)c1ccc2cnccc2c1,1.0
Nc1n[nH]c2ccc(-c3nnn(Cc4ccccc4)c3-c3ccc(F)cc3)cc12,0.0
CC(C)Cc1nc(-c2ccccc2)c(-c2ccc(CN3CCC(n4c(O)nc5ccccc54)CC3)cc2)nc1O,0.0
NC1(c2ccc(-c3nc4c(C5CC5)cccn4c3-c3ccccc3)cc2)CCC1,1.0
OCCNCc1nnc2c3cc(-c4ccccc4)c(-c4ccc(CN5CCC(c6n[nH]c(-c7ccccn7)n6)CC5)cc4)nc3ccn12,1.0
O=C(Nc1csc(-c2nncn2C2CC2)n1)c1cc(-n2cnc(C3CC3)c2)c(N2CCN3CCCC3C2)cn1,1.0
